Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,Density,Enthalpy_mix (Hmix),Entropy_mix (Smix),Tm,Aatomic_Size_Difference,Electro_Negativity_Difference,VEC,Phase,BCC,BCC+Im,FCC,FCC+BCC,FCC+BCC+Im,FCC+Im
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,1,,,,,
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,1,,,,,
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,1,,,,,
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,1,,,,,
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,1,,,,,
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,1,,,,,
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,1,,,,,
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,1,,,,,
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,1,,,,,
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,1,,,,,
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,1,,,,,
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,1,,,,,
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,1,,,,,
0,0,0,0,0,0,0,0.35,0,0.05,0,0.275,0.275,0.05,8.4938,0.98,11.4494,2253.8,4.495453867,0.1147,4.1,BCC,1,,,,,
0,0,0,0,0,0,0,0.1905,0,0.1905,0.0476,0.1905,0.1905,0.1905,9.9226,2.4671,14.3361,2538.8843,5.272335133,0.1895,4.4766,BCC,1,,,,,
0,0,0,0,0,0,0,0.1818,0,0.1818,0.0909,0.1818,0.1818,0.1818,9.9335,2.2479,14.698,2554.6809,5.487212397,0.2322,4.545,BCC,1,,,,,
0,0,0,0,0,0,0,0.25,0.125,0.25,0.125,0,0.25,0,8.2942,-2.1884,12.6484,2430.625,5.935296931,0.1654,4.625,BCC,1,,,,,
0,0,0,0,0,0,0,0.25,0.125,0.25,0.125,0,0.25,0,8.2942,-2.1884,12.6484,2430.625,5.935296931,0.1654,4.625,BCC,1,,,,,
0,0,0,0,0,0,0,0.25,0.125,0.25,0.125,0,0.25,0,8.2942,-2.1884,12.6484,2430.625,5.935296931,0.1654,4.625,BCC,1,,,,,
0,0,0,0,0,0,0,0.1739,0,0.1739,0.1304,0.1739,0.1739,0.1739,9.9435,2.0567,14.8556,2569.5013,5.653632142,0.2621,4.6082,BCC,1,,,,,
0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0.2,0,8.7,-1.6,13.38,2441.4,6.097271121,0.31,4.6,BCC,1,,,,,
0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0.2,0,8.7,-1.6,13.38,2441.4,6.097271121,0.31,4.6,BCC,1,,,,,
0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0.2,0,8.7,-1.6,13.38,2441.4,6.097271121,0.31,4.6,BCC,1,,,,,
0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0.2,0,8.7,-1.6,13.38,2441.4,6.097271121,0.31,4.6,BCC,1,,,,,
0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,9.9,2.72,13.38,2520.8,4.99441746,0.12,4.4,BCC,1,,,,,
0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,9.9,2.72,13.38,2520.8,4.99441746,0.12,4.4,BCC,1,,,,,
0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,9.9,2.72,13.38,2520.8,4.99441746,0.12,4.4,BCC,1,,,,,
0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,9.9,2.72,13.38,2520.8,4.99441746,0.12,4.4,BCC,1,,,,,
0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,9.9,2.72,13.38,2520.8,4.99441746,0.12,4.4,BCC,1,,,,,
0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,9.9,2.72,13.38,2520.8,4.99441746,0.12,4.4,BCC,1,,,,,
0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,9.9,2.72,13.38,2520.8,4.99441746,0.12,4.4,BCC,1,,,,,
0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,9.9,2.72,13.38,2520.8,4.99441746,0.12,4.4,BCC,1,,,,,
0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,9.9,2.72,13.38,2520.8,4.99441746,0.12,4.4,BCC,1,,,,,
0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,9.9,2.72,13.38,2520.8,4.99441746,0.12,4.4,BCC,1,,,,,
0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,9.9,2.72,13.38,2520.8,4.99441746,0.12,4.4,BCC,1,,,,,
0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,9.9,2.72,13.38,2520.8,4.99441746,0.12,4.4,BCC,1,,,,,
0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,9.9,2.72,13.38,2520.8,4.99441746,0.12,4.4,BCC,1,,,,,
0,0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0.25,11.06,3.5,11.53,2665.75,5.36321632,0.12,4.5,BCC,1,,,,,
0,0,0,0,0,0,0,0.25,0,0,0,0.25,0.25,0.25,10.2086,1.75,11.5263,2465.5,4.851813611,0.104,4.25,BCC,1,,,,,
0,0,0,0,0,0,0,0.2941,0.0882,0.2941,0.0294,0.2941,0,0,6.6141,0.7958,11.6214,2280.8254,6.082602506,0.1604,4.4407,BCC,1,,,,,
0,0,0,0,0,0,0,0.2778,0.0833,0.2778,0.0833,0.2778,0,0,6.7804,-0.2778,12.3187,2315.1765,6.20035249,0.2137,4.5277,BCC,1,,,,,
0,0,0,0,0,0,0,0.2326,0.2326,0.2326,0.0698,0.2326,0,0,6.6964,-1.2547,12.826,2294.0906,7.006395961,0.1973,4.6056,BCC,1,,,,,
0,0,0,0,0,0,0,0.2632,0.0789,0.2632,0.1316,0.2632,0,0,6.932,-1.1357,12.6484,2345.9802,6.279899511,0.2477,4.6057,BCC,1,,,,,
