Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,Density,dHmix,dSmix,Tm,ASD,END,VEC,Phase,,,
0,0,0,0,0,0,0,0.375,0,0.125,0,0.25,0.125,0.125,9.9109,2.72,13.3816,2326.75,4.788305286,0.1183,4.25,BCC,0.047883053,4.788305286,1.503625
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,0.046603027,4.660302736,1.5238125
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,0.046603027,4.660302736,1.5238125
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,0.046603027,4.660302736,1.5238125
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,0.046603027,4.660302736,1.5238125
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,0.046603027,4.660302736,1.5238125
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,0.046603027,4.660302736,1.5238125
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,0.046603027,4.660302736,1.5238125
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,0.046603027,4.660302736,1.5238125
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,0.046603027,4.660302736,1.5238125
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,0.046603027,4.660302736,1.5238125
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,0.046603027,4.660302736,1.5238125
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,0.046603027,4.660302736,1.5238125
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,0.046603027,4.660302736,1.5238125
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,0.046603027,4.660302736,1.5238125
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,0.046603027,4.660302736,1.5238125
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,0.046603027,4.660302736,1.5238125
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,0.046603027,4.660302736,1.5238125
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,0.046603027,4.660302736,1.5238125
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,0.046603027,4.660302736,1.5238125
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,0.046603027,4.660302736,1.5238125
0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,8.4319,2.36,12.8415,2273.25,4.660302736,0.1186,4.125,BCC,0.046603027,4.660302736,1.5238125
0,0,0,0,0,0,0,0.35,0,0.05,0,0.275,0.275,0.05,8.4938,0.98,11.4494,2253.8,4.495453867,0.1147,4.1,BCC,0.044954539,4.495453867,1.529425
0,0,0,0,0,0,0,0.1905,0,0.1905,0.0476,0.1905,0.1905,0.1905,9.9226,2.4671,14.3361,2538.8843,5.272335133,0.1895,4.4766,BCC,0.052723351,5.272335133,1.4940098
0,0,0,0,0,0,0,0.1818,0,0.1818,0.0909,0.1818,0.1818,0.1818,9.9335,2.2479,14.698,2554.6809,5.487212397,0.2322,4.545,BCC,0.054872124,5.487212397,1.4877603
0,0,0,0,0,0,0,0.25,0.125,0.25,0.125,0,0.25,0,8.2942,-2.1884,12.6484,2430.625,5.935296931,0.1654,4.625,BCC,0.059352969,5.935296931,1.452125
0,0,0,0,0,0,0,0.25,0.125,0.25,0.125,0,0.25,0,8.2942,-2.1884,12.6484,2430.625,5.935296931,0.1654,4.625,BCC,0.059352969,5.935296931,1.452125
0,0,0,0,0,0,0,0.25,0.125,0.25,0.125,0,0.25,0,8.2942,-2.1884,12.6484,2430.625,5.935296931,0.1654,4.625,BCC,0.059352969,5.935296931,1.452125
0,0,0,0,0,0,0,0.1739,0,0.1739,0.1304,0.1739,0.1739,0.1739,9.9435,2.0567,14.8556,2569.5013,5.653632142,0.2621,4.6082,BCC,0.056536321,5.653632142,1.482333
0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0.2,0,8.7,-1.6,13.38,2441.4,6.097271121,0.31,4.6,BCC,0.060972711,6.097271121,1.487
0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0.2,0,8.7,-1.6,13.38,2441.4,6.097271121,0.31,4.6,BCC,0.060972711,6.097271121,1.487
0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0.2,0,8.7,-1.6,13.38,2441.4,6.097271121,0.31,4.6,BCC,0.060972711,6.097271121,1.487
0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0.2,0,8.7,-1.6,13.38,2441.4,6.097271121,0.31,4.6,BCC,0.060972711,6.097271121,1.487
0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,9.9,2.72,13.38,2520.8,4.99441746,0.12,4.4,BCC,0.049944175,4.99441746,1.5004
0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,9.9,2.72,13.38,2520.8,4.99441746,0.12,4.4,BCC,0.049944175,4.99441746,1.5004
0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,9.9,2.72,13.38,2520.8,4.99441746,0.12,4.4,BCC,0.049944175,4.99441746,1.5004
0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,9.9,2.72,13.38,2520.8,4.99441746,0.12,4.4,BCC,0.049944175,4.99441746,1.5004
0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,9.9,2.72,13.38,2520.8,4.99441746,0.12,4.4,BCC,0.049944175,4.99441746,1.5004
0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,9.9,2.72,13.38,2520.8,4.99441746,0.12,4.4,BCC,0.049944175,4.99441746,1.5004
0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,9.9,2.72,13.38,2520.8,4.99441746,0.12,4.4,BCC,0.049944175,4.99441746,1.5004
0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,9.9,2.72,13.38,2520.8,4.99441746,0.12,4.4,BCC,0.049944175,4.99441746,1.5004
0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,9.9,2.72,13.38,2520.8,4.99441746,0.12,4.4,BCC,0.049944175,4.99441746,1.5004
0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,9.9,2.72,13.38,2520.8,4.99441746,0.12,4.4,BCC,0.049944175,4.99441746,1.5004
0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,9.9,2.72,13.38,2520.8,4.99441746,0.12,4.4,BCC,0.049944175,4.99441746,1.5004
0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,9.9,2.72,13.38,2520.8,4.99441746,0.12,4.4,BCC,0.049944175,4.99441746,1.5004
0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,9.9,2.72,13.38,2520.8,4.99441746,0.12,4.4,BCC,0.049944175,4.99441746,1.5004
0,0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0.25,11.06,3.5,11.53,2665.75,5.36321632,0.12,4.5,BCC,0.053632163,5.36321632,1.51
0,0,0,0,0,0,0,0.25,0,0,0,0.25,0.25,0.25,10.2086,1.75,11.5263,2465.5,4.851813611,0.104,4.25,BCC,0.048518136,4.851813611,1.51825
0,0,0,0,0,0,0,0.2941,0.0882,0.2941,0.0294,0.2941,0,0,6.6141,0.7958,11.6214,2280.8254,6.082602506,0.1604,4.4407,BCC,0.060826025,6.082602506,1.4778288
0,0,0,0,0,0,0,0.2778,0.0833,0.2778,0.0833,0.2778,0,0,6.7804,-0.2778,12.3187,2315.1765,6.20035249,0.2137,4.5277,BCC,0.062003525,6.20035249,1.4715939
0,0,0,0,0,0,0,0.2326,0.2326,0.2326,0.0698,0.2326,0,0,6.6964,-1.2547,12.826,2294.0906,7.006395961,0.1973,4.6056,BCC,0.07006396,7.006395961,1.4465434
0,0,0,0,0,0,0,0.2632,0.0789,0.2632,0.1316,0.2632,0,0,6.932,-1.1357,12.6484,2345.9802,6.279899511,0.2477,4.6057,BCC,0.062798995,6.279899511,1.466024
0,0,0,0,0,0,0,0.2222,0.2222,0.2222,0.1111,0.2222,0,0,6.833,-1.7778,13.1459,2320.2397,6.969762642,0.2281,4.6662,BCC,0.069697626,6.969762642,1.4424113
0,0,0,0,0,0,0,0.25,0.075,0.25,0.175,0.25,0,0,7.0708,-1.825,12.796,2373.275,6.331916559,0.2716,4.675,BCC,0.063319166,6.331916559,1.460725
0,0,0,0,0,0,0,0.2128,0.2128,0.2128,0.1489,0.2128,0,0,6.9594,-2.2091,13.3088,2345.1103,6.925744665,0.2506,4.7238,BCC,0.069257447,6.925744665,1.4393187
0,0,0,0,0,0,0,0.2174,0.0652,0.2174,0.2826,0.2174,0,0,7.4249,-3.1947,12.7247,2441.4526,6.375383414,0.3122,4.8478,BCC,0.063753834,6.375383414,1.4479826
0,0,0,0,0,0,0,0.1887,0.1887,0.1887,0.2453,0.1887,0,0,7.2877,-3.1043,13.331,2407.5293,6.774620025,0.2916,4.8684,BCC,0.0677462,6.774620025,1.4306909
0,0,0,0,0,0,0,0.2083,0.0625,0.2083,0.3125,0.2083,0,0,7.5258,-3.4896,12.6143,2460.1961,6.366359613,0.3198,4.8954,BCC,0.063663596,6.366359613,1.4442877
0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,7.3552,-2.75,11.5263,2440.5,4.075838919,0.2489,5,BCC,0.040758389,4.075838919,1.3925
0,0,0,0,0,0,0,0.2326,0.0698,0.2326,0.2326,0.2326,0,0,7.2584,-2.6176,12.826,2410.167,6.369626112,0.2961,4.7684,BCC,0.063696261,6.369626112,1.454195
0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,7.13,-2.72,13.38,2378,6.853413663,0.28,4.8,BCC,0.068534137,6.853413663,1.4346
0,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0,0.25,9.16,-0.25,11.53,2539.75,3.93470745,0.05,4.75,BCC,0.039347075,3.93470745,1.40925
0,0,0,0,0,0,0,0.303,0.0909,0.303,0,0.303,0,0,6.5248,1.4325,10.8369,2262.195,6.005218799,0.1175,4.3935,BCC,0.060052188,6.005218799,1.4813064
0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,6.72,-12.32,13.38,1684,5.777889559,0.12,7.8,BCC,0.057778896,5.777889559,1.2838
0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,6.72,-12.32,13.38,1684,5.777889559,0.12,7.8,BCC,0.057778896,5.777889559,1.2838
0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,6.72,-12.32,13.38,1684,5.777889559,0.12,7.8,BCC,0.057778896,5.777889559,1.2838
0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,6.72,-12.32,13.38,1684,5.777889559,0.12,7.8,BCC,0.057778896,5.777889559,1.2838
0.1961,0.1961,0.1961,0.1961,0.1961,0,0,0,0,0,0.0196,0,0,0,6.8,-12.13,13.92,1707.8963,5.777283541,0.13,7.7655,BCC,0.057772835,5.777283541,1.2854807
0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,6.72,-12.32,13.38,1684,5.777889559,0.12,7.8,BCC,0.057778896,5.777889559,1.2838
0.1961,0.1961,0.1961,0.1961,0.1961,0,0,0,0,0.0196,0,0,0,0,6.7771,-13.318,13.9216,1704.8779,5.918506466,0.1219,7.7459,BCC,0.059185065,5.918506466,1.2867743
0.1364,0.1818,0.1818,0.1818,0.1818,0.0455,0,0.0909,0,0,0,0,0,0,6.7847,-14.3884,15.5481,1726.6237,6.381140786,0.133,7.6819,BCC,0.063811408,6.381140786,1.2930062
0.1818,0.1818,0.1818,0.1818,0.1818,0,0,0.0909,0,0,0,0,0,0,6.44,-17.92,14.7,1707.2202,6.717962872,0.13,7.4538,BCC,0.067179629,6.717962872,1.29987
0.1667,0.1667,0.1667,0.1667,0.1667,0,0,0.1667,0,0,0,0,0,0,6.23,-21.56,14.9,1727.1241,7.220093625,0.14,7.1681,BCC,0.072200936,7.220093625,1.3137627
0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,6.3149,-13.25,11.5263,1663,6.26002632,0.119,7.5,BCC,0.062600263,6.26002632,1.292
0.2381,0,0.2381,0.2381,0.2381,0,0,0,0,0,0.0476,0,0,0,6.4862,-12.6531,12.5692,1721.6908,6.2040312,0.1474,7.4286,BCC,0.062040312,6.2040312,1.2953796
0.2222,0,0.2222,0.2222,0.2222,0,0,0,0,0,0.1111,0,0,0,6.7815,-11.8519,13.1459,1799.8473,6.112491208,0.1722,7.3326,BCC,0.061124912,6.112491208,1.2997589
0,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0.25,0,8.4,2.5,11.53,2327.75,4.872386594,0.13,4.25,BCC,0.048723866,4.872386594,1.518
0,0,0,0,0,0,0,0.2,0.4,0.2,0,0.2,0,0,6.6559,-3.52,11.0764,2235.4,7.480507608,0.2739,4.6,BCC,0.074805076,7.480507608,1.4252
0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0.2,0,8.7023,-3.2,13.3816,2441.4,6.097271121,0.3096,4.6,BCC,0.060972711,6.097271121,1.487
0.1818,0.1818,0.1818,0.1818,0.1818,0,0,0.0909,0,0,0,0,0,0,6.44,-17.92,14.7,1707.2202,6.717962872,0.13,7.4538,BCC,0.067179629,6.717962872,1.29987
0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,6.72,-12.32,13.38,1684,5.777889559,0.12,7.8,BCC,0.057778896,5.777889559,1.2838
0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,6.72,-12.32,13.38,1684,5.777889559,0.12,7.8,BCC,0.057778896,5.777889559,1.2838
0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,6.72,-12.32,13.38,1684,5.777889559,0.12,7.8,BCC,0.057778896,5.777889559,1.2838
0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,6.72,-12.32,13.38,1684,5.777889559,0.12,7.8,BCC,0.057778896,5.777889559,1.2838
0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,6.72,-12.32,13.38,1684,5.777889559,0.12,7.8,BCC,0.057778896,5.777889559,1.2838
0.1818,0.1818,0.1818,0.1818,0.1818,0,0,0.0909,0,0,0,0,0,0,6.44,-17.92,14.7,1707.2202,6.717962872,0.13,7.4538,BCC,0.067179629,6.717962872,1.29987
0.1818,0.1818,0.1818,0.1818,0.1818,0,0,0.0909,0,0,0,0,0,0,6.44,-17.92,14.7,1707.2202,6.717962872,0.13,7.4538,BCC,0.067179629,6.717962872,1.29987
0.1818,0.1818,0.1818,0.1818,0.1818,0,0,0.0909,0,0,0,0,0,0,6.44,-17.92,14.7,1707.2202,6.717962872,0.13,7.4538,BCC,0.067179629,6.717962872,1.29987
0.1818,0.1818,0.1818,0.1818,0.1818,0,0,0.0909,0,0,0,0,0,0,6.44,-17.92,14.7,1707.2202,6.717962872,0.13,7.4538,BCC,0.067179629,6.717962872,1.29987
0,0,0.2,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0,7.3294,-4.32,13.3816,2388.4,5.618669177,0.2245,5.2,BCC,0.056186692,5.618669177,1.3638
0.1923,0.1923,0.1923,0.1923,0.1923,0,0,0.0385,0,0,0,0,0,0,6.6091,-14.8521,14.2224,1693.8945,6.230174368,0.1268,7.6537,BCC,0.062301744,6.230174368,1.2906607
0.1923,0.1923,0.1923,0.1923,0.1923,0,0,0.0385,0,0,0,0,0,0,6.6091,-14.8521,14.2224,1693.8945,6.230174368,0.1268,7.6537,BCC,0.062301744,6.230174368,1.2906607
0.1923,0.1923,0.1923,0.1923,0.1923,0,0,0.0385,0,0,0,0,0,0,6.6091,-14.8521,14.2224,1693.8945,6.230174368,0.1268,7.6537,BCC,0.062301744,6.230174368,1.2906607
0.1923,0.1923,0.1923,0.1923,0.1923,0,0,0.0385,0,0,0,0,0,0,6.6091,-14.8521,14.2224,1693.8945,6.230174368,0.1268,7.6537,BCC,0.062301744,6.230174368,1.2906607
0.1852,0.1852,0.1852,0.1852,0.1852,0,0,0.0741,0,0,0,0,0,0,6.5046,-16.9822,14.5858,1703.1848,6.574977188,0.1317,7.5192,BCC,0.065749772,6.574977188,1.297133
0.1852,0.1852,0.1852,0.1852,0.1852,0,0,0.0741,0,0,0,0,0,0,6.5046,-16.9822,14.5858,1703.1848,6.574977188,0.1317,7.5192,BCC,0.065749772,6.574977188,1.297133
0.1852,0.1852,0.1852,0.1852,0.1852,0,0,0.0741,0,0,0,0,0,0,6.5046,-16.9822,14.5858,1703.1848,6.574977188,0.1317,7.5192,BCC,0.065749772,6.574977188,1.297133
0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0.2,9.37,-2.56,13.38,2611,3.780994362,0.24,5,BCC,0.037809944,3.780994362,1.4
0,0,0.25,0,0,0,0,0.25,0,0.25,0,0.25,0,0,6.64,-5,11.53,2247.75,8.781340818,0.12,4.75,BCC,0.087813408,8.781340818,1.43575
0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0.2,0,8.7,-1.6,13.38,2441.4,6.097271121,0.31,4.6,BCC,0.060972711,6.097271121,1.487
0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,9.9,2.72,13.38,2520.8,4.99441746,0.12,4.4,BCC,0.049944175,4.99441746,1.5004
0,0,0,0,0,0,0,0.25,0.125,0.125,0,0.25,0.25,0,8.1905,0.4375,12.9671,2257.875,6.440523166,0.1345,4.25,BCC,0.064405232,6.440523166,1.503875
0,0,0,0,0,0,0,0.1429,0.1429,0.2857,0,0.2857,0.1429,0,7.8728,1.4694,12.886,2337.9013,6.802059798,0.1374,4.429,BCC,0.068020598,6.802059798,1.4887148
0,0,0,0,0,0,0,0.25,0,0.125,0.125,0.25,0.25,0,8.569,-2.125,12.9671,2347,5.703787685,0.2705,4.375,BCC,0.057037877,5.703787685,1.50975
0,0,0,0,0,0,0,0.25,0,0.125,0,0.25,0.25,0.125,9.3097,0.875,12.9671,2396.625,4.862116278,0.1182,4.25,BCC,0.048621163,4.862116278,1.518125
0,0,0,0,0,0,0,0.3333,0,0.3333,0,0.3333,0,0,9.9752,3.1111,9.1344,2270.1336,5.037551391,0.0411,4.3329,BCC,0.050375514,5.037551391,1.4978502
0,0,0,0,0,0,0,0.3,0,0.3,0,0.3,0,0.1,7.4914,2.64,10.9238,2372.6,4.991703425,0.1099,4.4,BCC,0.049917034,4.991703425,1.4912
0,0,0.1,0,0,0,0,0.3,0,0.3,0,0.3,0,0,6.5947,-0.96,10.9238,2261.3,7.023519911,0.1211,4.5,BCC,0.070235199,7.023519911,1.4731
0.0566,0,0,0,0,0,0,0.1887,0,0.1887,0,0.1887,0.1887,0.1887,8.5468,-5.0406,12.826,2431.1553,4.976684027,0.1013,4.491,BCC,0.04976684,4.976684027,1.4966786
0.0909,0,0,0,0,0,0,0.1818,0,0.1818,0,0.1818,0.1818,0.1818,8.3188,-8.9877,13.1459,2376.2442,4.959852143,0.1016,4.545,BCC,0.049598521,4.959852143,1.4940324
0.1304,0,0,0,0,0,0,0.1739,0,0.1739,0,0.1739,0.1739,0.1739,9.1,-11.55,14.86,2313.5261,4.933462691,0.12,4.6082,BCC,0.049334627,4.933462691,1.4913306
0,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0,0.25,8.9257,2.5,11.5263,2526,4.839726937,0.1003,4.5,BCC,0.048397269,4.839726937,1.481
0,0,0,0,0,0,0,0.303,0,0.303,0,0.0909,0,0.303,8.6576,2.3644,11.4731,2610.1905,3.36714369,0.0977,4.6056,BCC,0.033671437,3.36714369,1.4549757
0,0,0,0,0,0,0,0.2985,0,0.2985,0,0.1045,0,0.2985,8.3863,2.2244,11.3205,2603.212,3.556602319,0.0948,4.597,BCC,0.035566023,3.556602319,1.457332
0,0,0,0,0,0,0,0.2941,0,0.2941,0,0.1176,0,0.2941,8.1117,2.08,11.0764,2596.0217,3.72377991,0.0917,4.5878,BCC,0.037237799,3.72377991,1.4593189
0,0,0,0,0,0,0,0.2899,0,0.2899,0,0.1304,0,0.2899,7.8338,1.9311,10.7454,2589.7063,3.873014166,0.0885,4.5802,BCC,0.038730142,3.873014166,1.4616891
0,0,0,0,0,0,0,0.25,0.25,0.25,0,0.25,0,0,6.46,-0.25,11.53,2248.5,7.048397669,0.12,4.5,BCC,0.070483977,7.048397669,1.4525
0.2,0,0,0,0,0,0,0.2,0.2,0.2,0,0.2,0,0,5.76,-17.44,13.38,1985.4,6.34742231,0.11,4.8,BCC,0.063474223,6.34742231,1.4484
