Tm,ASD,VEC,Phase
2107.3135,4.970094703,4.5259,BCC
2048.8,4.968270135,4.6,BCC
1995.8655,4.956433306,4.6671,BCC
1947.1962,4.937796455,4.7268,BCC
2206.4554,5.358246357,4.3057,BCC
2357.3845,7.254426578,4.5714,BCC
2204.9648,6.319767721,4.7995,BCC
2520.8,4.99441746,4.4,BCC
2098.2619,6.956936589,4.2218,BCC
2132.2998,6.815571803,4.2631,BCC
2157.75,4.550577491,4.125,BCC
2190.571,6.555750246,4.3338,BCC
2215.2603,6.436537341,4.3632,BCC
1911.3276,10.92305727,6.8347,BCC
1684,5.777889559,7.8,BCC
1629.938,5.280640432,8.335,BCC
2327.75,4.872386594,4.25,BCC
1923.25,3.545392507,6.5,BCC
2600,5.462505288,4.8,BCC
1634.2,5.827707431,7.4,BCC
1684,5.777889559,7.8,BCC
1707.2202,6.717962872,7.4538,BCC
2024.125,5.437757834,4.875,BCC
2024.125,5.437757834,4.875,BCC
2024.125,5.437757834,4.875,BCC
2395.44,4.923084129,4.56,BCC
2395.44,4.923084129,4.56,BCC
2395.44,4.923084129,4.56,BCC
2395.44,4.923084129,4.56,BCC
2520.8,4.99441746,4.4,BCC
2133.6,3.480910165,4.8,BCC
2133.6,3.480910165,4.8,BCC
2133.6,3.480910165,4.8,BCC
2395.44,4.923084129,4.56,BCC
2395.44,4.923084129,4.56,BCC
2395.44,4.923084129,4.56,BCC
2359.74,4.844622455,4.52,BCC
2359.74,4.844622455,4.52,BCC
2359.74,4.844622455,4.52,BCC
2315.34,5.304755212,4.52,BCC
2315.34,5.304755212,4.52,BCC
2315.34,5.304755212,4.52,BCC
2263.8,4.926541183,4.6,BCC
2263.8,4.926541183,4.6,BCC
2263.8,4.926541183,4.6,BCC
1949.75,3.94703996,5,BCC
1949.75,3.94703996,5,BCC
1949.75,3.94703996,5,BCC
1949.75,3.94703996,5,BCC
2298.8,7.067352431,4.4,BCC
2298.8,7.067352431,4.4,BCC
2298.8,7.067352431,4.4,BCC
2248.5,7.048397669,4.5,BCC
2248.5,7.048397669,4.5,BCC
2248.5,7.048397669,4.5,BCC
2248.5,7.048397669,4.5,BCC
2235.4,7.480507608,4.6,BCC
2226.8664,7.497144446,4.6671,BCC
2220.6308,7.36890073,4.7147,BCC
2215.75,7.187440703,4.75,BCC
